City,Vegetation %
"Jacksonville, FL",0.5977826120286835
"Jersey City, NJ",0.16426604046428644
"Juneau, AK",0.36551984422462175
"Kansas City, MO",0.6385196975270888
"Knoxville, TN",0.7134216296068729
"Laredo, TX",0.21888144297441442
"Las Cruces, NM",0.01736754366752712
"Las Vegas, NV",0.02446923420825795
"Lewiston, ME",0.8468969219604731
"Lexington-Fayette, KY",0.8431570470489054
"Lincoln, NE",0.5250622420280259
"Little Rock, AR",0.6996083717977509
"Long Beach, CA",0.04536644786718122
"Los Angeles, CA",0.11343470188701432
"Louisville, KY",0.7209755773294366
"Lubbock, TX",0.18028115177161527
"Madison, WI",0.5751604271761257
"Manchester, NH",0.5829974286842418
"Memphis, TN",0.6366140858429264
"Mesa, AZ",0.059595521569225346
"Miami, FL",0.21995164704850745
"Milwaukee, WI",0.4329381590063981
"Minneapolis, MN",0.44646120934585687
"Missoula, MT",0.2760553235178705
"Mobile, AL",0.5780928321391622
"Modesto, CA",0.15351056271895083
"Montgomery, AL",0.7306423008844807
"Moreno Valley, CA",0.023486796242291923
"Nampa, ID",0.31289747085573266
"Nashua, NH",0.7256123292989652
"Nashville, TN",0.7780566531024788
"New Haven, CT",0.5314832642696692
"New Orleans, LA",0.2764035692025063
"New York, NY",0.20977596254384343
"Newark, NJ",0.213354897449935
"Newport News, VA",0.38282906042969667
"Norfolk, VA",0.42504323314371023
"North Las Vegas, NV",0.009834673699559576
"Oakland, CA",0.1635058670312836
"Oceanside, CA",0.13750422678088367
"Oklahoma City, OK",0.6321638352461756
"Omaha, NE",0.5506810677520964
"Ontario, CA",0.05676410368582919
"Orlando, FL",0.45943734795033514
"Overland Park, KS",0.5515492255054726
"Oxnard, CA",0.05352711593207418
"Pearl City, HI",0.3624237031997226
"Pembroke Pines, FL",0.44029188712618506
"Peoria, AZ",0.011392482980735462
"Philadelphia, PA",0.37854126728239545
"Phoenix, AZ",0.02882987123036701
"Pittsburgh, PA",0.5145974719309405
"Plano, TX",0.3391457459175346
Port St,0.6452058018141366
"Portland, ME",0.22037624032251682
"Portland, OR",0.40491684839837583
"Providence, RI",0.37347741017783415
"Raleigh, NC",0.7008881940204033
"Rancho Cucamonga, CA",0.052871721909658026
"Rapid City, SD",0.23817247794105098
"Reno, NV",0.0824739772614955
"Richmond, VA",0.6513830673747839
"Riverside, CA",0.08497477901131428
"Rochester, NY",0.5439206442943129
"Sacramento, CA",0.15911030118644526
"Salem, OR",0.46040720629091914
"Salt Lake City, UT",0.24435296304209245
"San Antonio, TX",0.5306918445109637
"San Bernardino, CA",0.04342794657502148
"San Diego, CA",0.0865397761169296
"San Francisco, CA",0.05947311907055093
"San Jose, CA",0.14533820573021677
"Santa Ana, CA",0.05714309860107159
"Santa Clarita, CA",0.07001297641796111
"Santa Rosa, CA",0.24665786642740037
"Scottsdale, AZ",0.028066087448942678
"Seattle, WA",0.2830970275367866
"Shreveport, LA",0.6521182422179425
"Sioux Falls, SD",0.3596845345274405
"South Burlington, VT",0.3936250847728089
"Spokane, WA",0.275113383245077
"Springfield, MO",0.6362156094146308
St,0.18508357326548625
"Stockton, CA",0.11399256295889008
"Tacoma, WA",0.30996772608138456
"Tallahassee, FL",0.7838571948606394
"Tampa, FL",0.566913734893089
"Tempe, AZ",0.03465883625978682
"Toledo, OH",0.5657266232360045
"Tucson, AZ",0.032559993330739355
"Tulsa, OK",0.5493369626004649
"Vancouver, WA",0.36805211947589916
"Virginia Beach, VA",0.4748862779764795
"Warwick, RI",0.7058828548361121
"Washington, DC",0.4877036306329881
"West Valley City, UT",0.0866989890855007
"Wichita, KS",0.42742245543070434
"Wilmington, DE",0.28949745394933907
"Winston-Salem, NC",0.7612182725810095
"Worcester, MA",0.6608658743633277
"Yonkers, NY",0.4882669753291063
,
